Cap_Model,Scenario,FY,CoreSystemStressFlag,Observations,Mean_Impact,Median_Impact,P75_Impact,P95_Impact
$1000/MWh,Accelerated Transition,FY2026,False,307707,3.5381305,2.6654396,5.143093,11.2582035
$1000/MWh,Accelerated Transition,FY2026,True,7353,5.6825614,2.3610992,7.544113,30.053375
$1000/MWh,Accelerated Transition,FY2027,False,307302,8.507057,6.8847885,11.72702,23.064854
$1000/MWh,Accelerated Transition,FY2027,True,7758,12.461491,7.4742355,18.861795,57.16681
$1000/MWh,Accelerated Transition,FY2028,False,306898,15.598256,12.810585,21.30592,40.16983
$1000/MWh,Accelerated Transition,FY2028,True,8162,22.408216,15.300735,31.263363,96.1378
$1000/MWh,Accelerated Transition,FY2029,False,306645,24.865005,20.797272,34.30024,62.192867
$1000/MWh,Accelerated Transition,FY2029,True,8415,36.047195,25.176498,44.367798,136.3944
$1000/MWh,Accelerated Transition,FY2030,False,306578,38.607323,32.850872,54.222637,93.51008
$1000/MWh,Accelerated Transition,FY2030,True,8482,54.36618,38.90828,68.88028,176.59601
$1000/MWh,Slower Growth,FY2026,False,307922,1.418495,0.80828476,2.1840668,5.7647314
$1000/MWh,Slower Growth,FY2026,True,7138,2.6231472,0.18473434,2.6785736,16.063745
$1000/MWh,Slower Growth,FY2027,False,307769,2.8349853,2.057747,4.1837006,9.49295
$1000/MWh,Slower Growth,FY2027,True,7291,4.687296,1.5950317,5.9429398,26.369179
$1000/MWh,Slower Growth,FY2028,False,307653,4.2486525,3.2653027,6.1028595,13.088308
$1000/MWh,Slower Growth,FY2028,True,7407,6.6182756,3.083313,9.280914,34.015354
$1000/MWh,Slower Growth,FY2029,False,307517,6.0202756,4.7953033,8.410873,17.309605
$1000/MWh,Slower Growth,FY2029,True,7543,9.192301,5.009247,13.40316,46.83114
$1000/MWh,Slower Growth,FY2030,False,307336,8.148509,6.58156,11.259099,22.218306
$1000/MWh,Slower Growth,FY2030,True,7724,12.057163,7.113556,18.09,56.360527
$1000/MWh,Step Change,FY2026,False,307807,2.4819458,1.7599106,3.6878607,8.605512
$1000/MWh,Step Change,FY2026,True,7253,4.1797295,1.2105103,5.0081787,24.485302
$1000/MWh,Step Change,FY2027,False,307535,5.6642733,4.487114,7.9533253,16.493382
$1000/MWh,Step Change,FY2027,True,7525,8.664722,4.6592407,12.756256,43.21574
$1000/MWh,Step Change,FY2028,False,307242,9.220179,7.489231,12.662348,24.68919
$1000/MWh,Step Change,FY2028,True,7818,13.355292,8.096626,19.999966,60.478367
$1000/MWh,Step Change,FY2029,False,306964,13.838301,11.31588,18.933187,35.813557
$1000/MWh,Step Change,FY2029,True,8096,19.787365,13.262108,28.099617,87.22179
$1000/MWh,Step Change,FY2030,False,306748,19.87461,16.444132,27.145088,50.580128
$1000/MWh,Step Change,FY2030,True,8312,28.445448,20.071285,36.77861,111.309265
p99,Accelerated Transition,FY2026,False,307707,3.4586473,2.6332855,5.091049,11.225756
p99,Accelerated Transition,FY2026,True,7353,4.212905,2.3200989,6.6551666,20.84342
p99,Accelerated Transition,FY2027,False,307302,8.271726,6.807686,11.727571,22.667393
p99,Accelerated Transition,FY2027,True,7758,9.775958,7.924904,16.35878,33.108456
p99,Accelerated Transition,FY2028,False,306898,15.112546,12.712784,21.2525,38.925068
p99,Accelerated Transition,FY2028,True,8162,17.355614,15.56385,27.571785,50.28264
p99,Accelerated Transition,FY2029,False,306645,23.984407,20.398857,33.94883,59.897934
p99,Accelerated Transition,FY2029,True,8415,26.874151,23.621033,39.809044,70.862656
p99,Accelerated Transition,FY2030,False,306578,36.95359,32.251728,52.935738,89.10191
p99,Accelerated Transition,FY2030,True,8482,39.70958,36.445225,56.92378,93.95299
p99,Slower Growth,FY2026,False,307922,1.3839457,0.8222828,2.1393871,5.822767
p99,Slower Growth,FY2026,True,7138,1.7680837,0.24099731,2.454094,10.931673
p99,Slower Growth,FY2027,False,307769,2.7705727,2.0386963,4.131691,9.483483
p99,Slower Growth,FY2027,True,7291,3.400618,1.5349731,5.368332,18.326996
p99,Slower Growth,FY2028,False,307653,4.1500497,3.2337914,6.028084,12.93952
p99,Slower Growth,FY2028,True,7407,5.015592,3.1358795,8.270264,22.435486
p99,Slower Growth,FY2029,False,307517,5.8751335,4.751877,8.417976,17.089386
p99,Slower Growth,FY2029,True,7543,7.0378113,5.010956,11.594269,27.659906
p99,Slower Growth,FY2030,False,307336,7.9262314,6.517847,11.2712555,21.876554
p99,Slower Growth,FY2030,True,7724,9.449302,7.4770584,15.756142,32.260265
p99,Step Change,FY2026,False,307807,2.4249997,1.735199,3.6309128,8.581696
p99,Step Change,FY2026,True,7253,2.9813333,1.1990967,4.6960297,16.483784
p99,Step Change,FY2027,False,307535,5.5284433,4.4516754,7.9562836,16.25426
p99,Step Change,FY2027,True,7525,6.6479115,4.6527557,10.974579,25.923584
p99,Step Change,FY2028,False,307242,8.957606,7.418991,12.669722,24.275366
p99,Step Change,FY2028,True,7818,10.487423,8.698917,17.400013,35.166897
p99,Step Change,FY2029,False,306964,13.41657,11.292377,18.835896,34.918396
p99,Step Change,FY2029,True,8096,15.449004,13.56599,24.931778,46.62877
p99,Step Change,FY2030,False,306748,19.208534,16.204468,27.06263,48.737877
p99,Step Change,FY2030,True,8312,21.73383,19.4749,33.095325,58.934402
p99.5,Accelerated Transition,FY2026,False,307707,3.480687,2.6399918,5.083103,11.236293
p99.5,Accelerated Transition,FY2026,True,7353,4.7182097,2.3197937,7.0454865,25.080872
p99.5,Accelerated Transition,FY2027,False,307302,8.352757,6.858,11.7117195,22.845234
p99.5,Accelerated Transition,FY2027,True,7758,11.102669,7.9753265,17.377197,44.549957
p99.5,Accelerated Transition,FY2028,False,306898,15.326154,12.799431,21.310165,39.55649
p99.5,Accelerated Transition,FY2028,True,8162,19.997103,15.2107315,29.493546,71.67999
p99.5,Accelerated Transition,FY2029,False,306645,24.450855,20.724945,34.34204,61.050392
p99.5,Accelerated Transition,FY2029,True,8415,31.758385,24.790787,42.44053,105.45022
p99.5,Accelerated Transition,FY2030,False,306578,37.93195,32.8674,53.907814,91.221375
p99.5,Accelerated Transition,FY2030,True,8482,48.53477,39.308907,64.12207,130.9346
p99.5,Slower Growth,FY2026,False,307922,1.396466,0.80898285,2.1485977,5.890591
p99.5,Slower Growth,FY2026,True,7138,2.0656166,0.19595337,2.4958458,13.773825
p99.5,Slower Growth,FY2027,False,307769,2.78775,2.0429077,4.1254654,9.528294
p99.5,Slower Growth,FY2027,True,7291,3.86901,1.6035614,5.482956,22.775826
p99.5,Slower Growth,FY2028,False,307653,4.179364,3.2338943,6.052353,12.960584
p99.5,Slower Growth,FY2028,True,7407,5.5932174,3.1741028,8.740135,27.899109
p99.5,Slower Growth,FY2029,False,307517,5.921836,4.7420692,8.414368,17.120642
p99.5,Slower Growth,FY2029,True,7543,7.887108,5.0470123,12.159363,35.780563
p99.5,Slower Growth,FY2030,False,307336,8.003102,6.5645123,11.252888,21.997705
p99.5,Slower Growth,FY2030,True,7724,10.69992,7.6031,16.664902,43.56238
p99.5,Step Change,FY2026,False,307807,2.439499,1.7399597,3.6388054,8.690096
p99.5,Step Change,FY2026,True,7253,3.419084,1.2268677,4.7474136,20.887447
p99.5,Step Change,FY2027,False,307535,5.5704703,4.443939,7.9501114,16.30344
p99.5,Step Change,FY2027,True,7525,7.4314895,4.6311035,11.391968,33.841095
p99.5,Step Change,FY2028,False,307242,9.050093,7.460539,12.647625,24.495302
p99.5,Step Change,FY2028,True,7818,11.959184,8.637043,18.736435,46.594246
p99.5,Step Change,FY2029,False,306964,13.590484,11.299166,18.902323,35.27779
p99.5,Step Change,FY2029,True,8096,17.714733,13.534294,26.904324,64.77693
p99.5,Step Change,FY2030,False,306748,19.537306,16.36322,27.241568,49.754734
