Cap_Model,Scenario,FY,DayType,Observations,Mean_Impact,Median_Impact,P75_Impact,P95_Impact
$1000/MWh,Accelerated Transition,FY2026,Weekday,224628,3.5551293,2.5849,5.099451,11.753662
$1000/MWh,Accelerated Transition,FY2026,Weekend,90432,3.6702688,2.854025,5.337698,11.089499
$1000/MWh,Accelerated Transition,FY2027,Weekday,224628,8.491372,6.6868553,11.59404,24.141151
$1000/MWh,Accelerated Transition,FY2027,Weekend,90432,8.885262,7.3988495,12.286964,22.51275
$1000/MWh,Accelerated Transition,FY2028,Weekday,224628,15.508536,12.461117,21.051306,41.88647
$1000/MWh,Accelerated Transition,FY2028,Weekend,90432,16.435751,13.9250145,22.361668,39.34881
$1000/MWh,Accelerated Transition,FY2029,Weekday,224628,24.663149,20.250381,34.01393,63.88452
$1000/MWh,Accelerated Transition,FY2029,Weekend,90432,26.406944,22.499897,35.62022,61.88776
$1000/MWh,Accelerated Transition,FY2030,Weekday,224628,38.12966,32.190117,53.83757,95.25319
$1000/MWh,Accelerated Transition,FY2030,Weekend,90432,41.271896,34.855587,55.90825,95.37982
$1000/MWh,Slower Growth,FY2026,Weekday,224628,1.4343262,0.7744827,2.161314,5.963363
$1000/MWh,Slower Growth,FY2026,Weekend,90432,1.4742576,0.86364937,2.265335,5.7294326
$1000/MWh,Slower Growth,FY2027,Weekday,224628,2.8517816,1.9919167,4.1461496,9.859842
$1000/MWh,Slower Growth,FY2027,Weekend,90432,2.9426043,2.2094326,4.3373814,9.374314
$1000/MWh,Slower Growth,FY2028,Weekday,224628,4.2634068,3.178362,6.0473633,13.673799
$1000/MWh,Slower Growth,FY2028,Weekend,90432,4.406092,3.4777374,6.351017,12.939062
$1000/MWh,Slower Growth,FY2029,Weekday,224628,6.024387,4.653515,8.311056,18.155468
$1000/MWh,Slower Growth,FY2029,Weekend,90432,6.2746444,5.14052,8.792849,16.949173
$1000/MWh,Slower Growth,FY2030,Weekday,224628,8.139613,6.396824,11.128689,23.267296
$1000/MWh,Slower Growth,FY2030,Weekend,90432,8.504453,7.076454,11.798019,21.70903
$1000/MWh,Step Change,FY2026,Weekday,224628,2.5004234,1.7051373,3.645153,8.91819
$1000/MWh,Step Change,FY2026,Weekend,90432,2.5722177,1.872602,3.8323555,8.474239
$1000/MWh,Step Change,FY2027,Weekday,224628,5.670245,4.364212,7.8686714,17.256546
$1000/MWh,Step Change,FY2027,Weekend,90432,5.8991113,4.8020096,8.324891,16.180967
$1000/MWh,Step Change,FY2028,Weekday,224628,9.2012415,7.272482,12.514584,25.872612
$1000/MWh,Step Change,FY2028,Weekend,90432,9.624703,8.06852,13.274547,24.238174
$1000/MWh,Step Change,FY2029,Weekday,224628,13.767688,10.998259,18.697226,37.493885
$1000/MWh,Step Change,FY2029,Weekend,90432,14.54629,12.284454,19.850456,35.080704
$1000/MWh,Step Change,FY2030,Weekday,224628,19.71617,15.950985,26.892088,52.35644
$1000/MWh,Step Change,FY2030,Weekend,90432,21.055956,17.879223,28.43901,49.665016
p99,Accelerated Transition,FY2026,Weekday,224628,3.4066565,2.5463066,5.0112553,11.49407
p99,Accelerated Transition,FY2026,Weekend,90432,3.6491175,2.8422089,5.3478546,11.182939
p99,Accelerated Transition,FY2027,Weekday,224628,8.120489,6.6079674,11.560766,23.192516
p99,Accelerated Transition,FY2027,Weekend,90432,8.776434,7.387352,12.3375435,22.485334
p99,Accelerated Transition,FY2028,Weekday,224628,14.78258,12.340866,20.899742,39.700577
p99,Accelerated Transition,FY2028,Weekend,90432,16.134607,13.896111,22.385248,38.63188
