Cap_Model,Scenario,FY,DemandStressFlag,Observations,Mean_Impact,Median_Impact,P75_Impact,P95_Impact
$1000/MWh,Accelerated Transition,FY2026,False,228117,3.3692002,2.6208878,4.7551346,9.455907
$1000/MWh,Accelerated Transition,FY2026,True,86943,4.162721,2.8619537,6.8391876,17.377432
$1000/MWh,Accelerated Transition,FY2027,False,215621,8.107364,6.7402153,10.802061,19.351711
$1000/MWh,Accelerated Transition,FY2027,True,99439,9.68226,7.467865,14.997414,33.29457
$1000/MWh,Accelerated Transition,FY2028,False,196066,14.843156,12.522896,19.566525,32.724487
$1000/MWh,Accelerated Transition,FY2028,True,118994,17.30954,13.812622,26.013538,53.455208
$1000/MWh,Accelerated Transition,FY2029,False,166977,23.572683,20.266258,31.02166,49.537086
$1000/MWh,Accelerated Transition,FY2029,True,148083,26.957657,22.054092,40.043095,77.02461
$1000/MWh,Accelerated Transition,FY2030,False,123281,36.66623,31.748772,47.704727,73.19591
$1000/MWh,Accelerated Transition,FY2030,True,191779,40.552097,34.386894,60.227123,106.67063
$1000/MWh,Slower Growth,FY2026,False,233077,1.3479086,0.815506,2.0311737,4.980002
$1000/MWh,Slower Growth,FY2026,True,81983,1.7240571,0.72893524,2.82592,8.902272
$1000/MWh,Slower Growth,FY2027,False,229775,2.6968777,2.0292282,3.8744783,8.019237
$1000/MWh,Slower Growth,FY2027,True,85285,3.3654284,2.1704407,5.55954,14.693128
$1000/MWh,Slower Growth,FY2028,False,226384,4.04644,3.2064676,5.624186,10.93293
$1000/MWh,Slower Growth,FY2028,True,88676,4.9628196,3.5437508,8.064861,19.807365
$1000/MWh,Slower Growth,FY2029,False,222073,5.7443686,4.6988754,7.756462,14.533137
$1000/MWh,Slower Growth,FY2029,True,92987,6.936512,5.202507,11.034271,25.440353
$1000/MWh,Slower Growth,FY2030,False,216613,7.7704606,6.442993,10.365871,18.686636
$1000/MWh,Slower Growth,FY2030,True,98447,9.286997,7.1317444,14.452621,32.22159
$1000/MWh,Step Change,FY2026,False,230647,2.3576472,1.7387085,3.4189186,7.303117
$1000/MWh,Step Change,FY2026,True,84413,2.9674542,1.8226013,4.8840027,13.318512
$1000/MWh,Step Change,FY2027,False,222973,5.405268,4.3986435,7.3470764,13.8354645
$1000/MWh,Step Change,FY2027,True,92087,6.5365944,4.8886642,10.448128,24.300455
$1000/MWh,Step Change,FY2028,False,213677,8.785968,7.336998,11.691851,20.771982
$1000/MWh,Step Change,FY2028,True,101383,10.454202,8.088287,16.102623,35.528934
$1000/MWh,Step Change,FY2029,False,201062,13.186663,11.076065,17.449055,29.49845
$1000/MWh,Step Change,FY2029,True,113998,15.4101095,12.188328,23.285034,48.667435
$1000/MWh,Step Change,FY2030,False,183230,18.828121,16.030947,24.757109,40.769085
$1000/MWh,Step Change,FY2030,True,131830,21.869522,17.653076,32.476883,64.65409
p99,Accelerated Transition,FY2026,False,228117,3.4190228,2.640068,4.795555,9.867788
p99,Accelerated Transition,FY2026,True,86943,3.626401,2.5809326,6.365982,15.568515
p99,Accelerated Transition,FY2027,False,215621,8.159188,6.726837,10.976757,19.84799
p99,Accelerated Transition,FY2027,True,99439,8.633106,7.219475,14.30563,28.951962
p99,Accelerated Transition,FY2028,False,196066,14.903561,12.561024,19.860788,33.367138
p99,Accelerated Transition,FY2028,True,118994,15.610744,13.305458,24.70164,47.078995
p99,Accelerated Transition,FY2029,False,166977,23.733767,20.283028,31.626385,50.280178
p99,Accelerated Transition,FY2029,True,148083,24.431244,20.800568,37.937332,68.59618
p99,Accelerated Transition,FY2030,False,123281,36.999306,32.475456,48.82164,74.49213
p99,Accelerated Transition,FY2030,True,191779,37.046093,32.23413,56.587845,96.64287
p99,Slower Growth,FY2026,False,233077,1.3751494,0.85905457,2.0372276,5.177353
p99,Slower Growth,FY2026,True,81983,1.4423995,0.59713745,2.616806,8.269359
p99,Slower Growth,FY2027,False,229775,2.739736,2.0524445,3.8892727,8.319689
p99,Slower Growth,FY2027,True,85285,2.9075153,1.9336243,5.1753845,13.248535
p99,Slower Growth,FY2028,False,226384,4.104647,3.2321854,5.6655846,11.298641
p99,Slower Growth,FY2028,True,88676,4.338258,3.2340698,7.540161,17.566498
p99,Slower Growth,FY2029,False,222073,5.8036203,4.7175446,7.8834515,14.976177
p99,Slower Growth,FY2029,True,92987,6.140236,4.912018,10.469429,22.44196
p99,Slower Growth,FY2030,False,216613,7.822127,6.4398804,10.534767,19.166164
