Cap_Model,Scenario,FY,LowRenewableFlag,Observations,Mean_Impact,Median_Impact,P75_Impact,P95_Impact
$1000/MWh,Accelerated Transition,FY2026,False,236295,3.6515524,2.8036728,5.3677235,11.376569
$1000/MWh,Accelerated Transition,FY2026,True,78765,3.3980548,2.2812347,4.519287,12.261688
$1000/MWh,Accelerated Transition,FY2027,False,236295,8.74598,7.2383804,12.196177,23.26591
$1000/MWh,Accelerated Transition,FY2027,True,78765,8.179784,6.0182495,10.370895,25.091925
$1000/MWh,Accelerated Transition,FY2028,False,236295,15.986593,13.367552,22.020294,40.471695
$1000/MWh,Accelerated Transition,FY2028,True,78765,15.138926,11.507301,19.415344,43.51714
$1000/MWh,Accelerated Transition,FY2029,False,236295,25.330671,21.450325,35.21697,62.623474
$1000/MWh,Accelerated Transition,FY2029,True,78765,24.662678,19.51088,31.948807,65.7561
$1000/MWh,Accelerated Transition,FY2030,False,236295,38.91206,33.42504,54.954575,94.29095
$1000/MWh,Accelerated Transition,FY2030,True,78765,39.390152,31.936188,52.81595,98.31042
$1000/MWh,Slower Growth,FY2026,False,236295,1.4705857,0.85819244,2.294014,5.8875446
$1000/MWh,Slower Growth,FY2026,True,78765,1.3713937,0.6618576,1.8932495,5.857611
$1000/MWh,Slower Growth,FY2027,False,236295,2.9223552,2.1678925,4.3707504,9.596959
$1000/MWh,Slower Growth,FY2027,True,78765,2.7443366,1.7470093,3.6706848,10.199316
$1000/MWh,Slower Growth,FY2028,False,236295,4.3797903,3.4249191,6.383812,13.2014065
$1000/MWh,Slower Growth,FY2028,True,78765,4.0780764,2.8365555,5.33226,14.394354
$1000/MWh,Slower Growth,FY2029,False,236295,6.2049303,5.035576,8.758408,17.408543
$1000/MWh,Slower Growth,FY2029,True,78765,5.7700825,4.180031,7.387718,19.102203
$1000/MWh,Slower Growth,FY2030,False,236295,8.386633,6.9289856,11.727158,22.41466
$1000/MWh,Slower Growth,FY2030,True,78765,7.817435,5.7584686,9.916168,24.178211
$1000/MWh,Step Change,FY2026,False,236295,2.557537,1.8475723,3.842865,8.691305
$1000/MWh,Step Change,FY2026,True,78765,2.4115114,1.4874573,3.229599,9.132746
$1000/MWh,Step Change,FY2027,False,236295,5.837217,4.715126,8.296577,16.590298
$1000/MWh,Step Change,FY2027,True,78765,5.4320984,3.9183578,6.9887314,18.231014
