Cap_Model,Scenario,FY,Additional_DC_MW,Observations,Mean_Impact,Median_Impact,P75_Impact,P95_Impact
$1000/MWh,Accelerated Transition,FY2026,114.16,315060,3.5881782,2.6615276,5.173586,11.539244
$1000/MWh,Accelerated Transition,FY2027,273.97,315060,8.604431,6.8925266,11.809561,23.637976
$1000/MWh,Accelerated Transition,FY2028,502.28,315060,15.774676,12.847955,21.45868,41.058167
$1000/MWh,Accelerated Transition,FY2029,799.09,315060,25.163673,20.887878,34.512596,63.238483
$1000/MWh,Accelerated Transition,FY2030,1221.46,315060,39.03158,33.007133,54.463028,95.28461
$1000/MWh,Slower Growth,FY2026,45.66,315060,1.4457877,0.80029297,2.189168,5.8827257
$1000/MWh,Slower Growth,FY2027,91.32,315060,2.8778505,2.0524292,4.2037706,9.715226
$1000/MWh,Slower Growth,FY2028,136.99,315060,4.304362,3.2629547,6.139908,13.413135
$1000/MWh,Slower Growth,FY2029,194.06,315060,6.0962186,4.7983513,8.464802,17.73536
$1000/MWh,Slower Growth,FY2030,262.56,315060,8.244333,6.589218,11.343308,22.775328
$1000/MWh,Step Change,FY2026,79.91,315060,2.5210307,1.7529964,3.704574,8.779817
$1000/MWh,Step Change,FY2027,182.65,315060,5.7359366,4.4894943,8.008051,16.887596
$1000/MWh,Step Change,FY2028,296.8,315060,9.322788,7.497866,12.745968,25.310215
$1000/MWh,Step Change,FY2029,445.21,315060,13.991172,11.343031,19.074436,36.65966
$1000/MWh,Step Change,FY2030,639.27,315060,20.10073,16.508747,27.330807,51.511898
p99,Accelerated Transition,FY2026,114.16,315060,3.4762506,2.6290932,5.116011,11.402503
p99,Accelerated Transition,FY2027,273.97,315060,8.308765,6.8224297,11.811941,22.97704
p99,Accelerated Transition,FY2028,502.28,315060,15.170655,12.758474,21.374367,39.360077
p99,Accelerated Transition,FY2029,799.09,315060,24.06159,20.471584,34.09575,60.243774
p99,Accelerated Transition,FY2030,1221.46,315060,37.02779,32.354637,53.042007,89.25805
p99,Slower Growth,FY2026,45.66,315060,1.3926488,0.8135452,2.1430874,5.9025826
p99,Slower Growth,FY2027,91.32,315060,2.785153,2.0331345,4.151926,9.640263
p99,Slower Growth,FY2028,136.99,315060,4.1703987,3.232586,6.0605106,13.120529
p99,Slower Growth,FY2029,194.06,315060,5.9029694,4.755747,8.468739,17.349329
p99,Slower Growth,FY2030,262.56,315060,7.963571,6.5288525,11.354982,22.185324
p99,Step Change,FY2026,79.91,315060,2.437807,1.7282104,3.6466036,8.709459
p99,Step Change,FY2027,182.65,315060,5.555181,4.4541802,8.001702,16.483208
p99,Step Change,FY2028,296.8,315060,8.995568,7.43441,12.759371,24.623518
p99,Step Change,FY2029,445.21,315060,13.468797,11.325615,18.960533,35.360996
p99,Step Change,FY2030,639.27,315060,19.275158,16.266026,27.20335,49.126514
p99.5,Accelerated Transition,FY2026,114.16,315060,3.509569,2.6361065,5.108883,11.442338
p99.5,Accelerated Transition,FY2027,273.97,315060,8.42047,6.871866,11.793791,23.345524
p99.5,Accelerated Transition,FY2028,502.28,315060,15.447159,12.840618,21.453884,40.181004
p99.5,Accelerated Transition,FY2029,799.09,315060,24.646034,20.817627,34.515717,61.830803
p99.5,Accelerated Transition,FY2030,1221.46,315060,38.217396,33.031265,54.139263,92.50609
p99.5,Slower Growth,FY2026,45.66,315060,1.4116262,0.80174255,2.1537027,5.9795547
p99.5,Slower Growth,FY2027,91.32,315060,2.8127723,2.0372753,4.1422195,9.687203
p99.5,Slower Growth,FY2028,136.99,315060,4.212603,3.2331028,6.091614,13.217853
p99.5,Slower Growth,FY2029,194.06,315060,5.968888,4.745922,8.473721,17.431805
p99.5,Slower Growth,FY2030,262.56,315060,8.069217,6.577633,11.329025,22.509579
p99.5,Step Change,FY2026,79.91,315060,2.4620502,1.7323952,3.6523552,8.840425
p99.5,Step Change,FY2027,182.65,315060,5.614919,4.44656,8.003239,16.621597
p99.5,Step Change,FY2028,296.8,315060,9.122279,7.4783287,12.729446,25.008139
p99.5,Step Change,FY2029,445.21,315060,13.696465,11.334728,19.030758,35.963375
p99.5,Step Change,FY2030,639.27,315060,19.687378,16.43029,27.409979,50.448704
p99.9,Accelerated Transition,FY2026,114.16,315060,3.5695217,2.645956,5.136469,11.559032
p99.9,Accelerated Transition,FY2027,273.97,315060,8.5684595,6.8852425,11.836193,23.642836
p99.9,Accelerated Transition,FY2028,502.28,315060,15.707912,12.8736,21.44771,41.274494
p99.9,Accelerated Transition,FY2029,799.09,315060,25.088163,20.829054,34.33894,64.09123
p99.9,Accelerated Transition,FY2030,1221.46,315060,38.955776,32.989082,53.850243,96.51449
p99.9,Slower Growth,FY2026,45.66,315060,1.4316806,0.8042898,2.1536608,5.848123
p99.9,Slower Growth,FY2027,91.32,315060,2.8590844,2.039856,4.1537895,9.696124
p99.9,Slower Growth,FY2028,136.99,315060,4.2830443,3.2411718,6.102131,13.338045
p99.9,Slower Growth,FY2029,194.06,315060,6.0663424,4.7751484,8.463974,17.655262
p99.9,Slower Growth,FY2030,262.56,315060,8.210229,6.5874023,11.352704,22.737661
p99.9,Step Change,FY2026,79.91,315060,2.5009367,1.7314835,3.6687546,8.77892
p99.9,Step Change,FY2027,182.65,315060,5.7038136,4.461952,7.9978466,16.823517
p99.9,Step Change,FY2028,296.8,315060,9.2830515,7.484276,12.770981,25.343956
p99.9,Step Change,FY2029,445.21,315060,13.930248,11.376371,19.056974,36.86639
p99.9,Step Change,FY2030,639.27,315060,20.026306,16.455853,27.271996,51.95041
