Cap_Model,Scenario,FY,PeakPeriod,Observations,Mean_Impact,Median_Impact,P75_Impact,P95_Impact
$1000/MWh,Accelerated Transition,FY2026,Off-peak,105012,3.045671,2.2867737,4.14616,9.12541
$1000/MWh,Accelerated Transition,FY2026,Peak,39384,3.729471,2.2482338,5.5505676,17.1255
$1000/MWh,Accelerated Transition,FY2026,Shoulder,170664,3.8893843,3.0640507,5.7638035,11.934524
$1000/MWh,Accelerated Transition,FY2027,Off-peak,105012,7.276348,5.8280926,9.447462,18.84452
$1000/MWh,Accelerated Transition,FY2027,Peak,39384,8.84944,6.304283,12.562613,33.896217
$1000/MWh,Accelerated Transition,FY2027,Shoulder,170664,9.365079,7.8647957,13.120756,24.47447
$1000/MWh,Accelerated Transition,FY2028,Off-peak,105012,13.379158,10.78653,17.263107,32.999622
$1000/MWh,Accelerated Transition,FY2028,Peak,39384,16.312016,12.175331,22.76519,56.39876
$1000/MWh,Accelerated Transition,FY2028,Shoulder,170664,17.124672,14.688704,23.711735,42.820724
$1000/MWh,Accelerated Transition,FY2029,Off-peak,105012,21.65552,17.571991,27.885963,51.62856
$1000/MWh,Accelerated Transition,FY2029,Peak,39384,26.196486,20.607883,36.2816,82.89466
$1000/MWh,Accelerated Transition,FY2029,Shoulder,170664,27.083948,23.734459,37.73247,66.52709
$1000/MWh,Accelerated Transition,FY2030,Off-peak,105012,34.560173,28.090565,45.601383,79.706154
$1000/MWh,Accelerated Transition,FY2030,Peak,39384,41.305145,33.880894,57.559788,117.89461
$1000/MWh,Accelerated Transition,FY2030,Shoulder,170664,41.258236,36.864433,58.722446,100.18734
$1000/MWh,Slower Growth,FY2026,Off-peak,105012,1.2190045,0.7257576,1.8100815,4.5796356
$1000/MWh,Slower Growth,FY2026,Peak,39384,1.5604924,0.4516983,2.2168903,8.105925
$1000/MWh,Slower Growth,FY2026,Shoulder,170664,1.5588603,0.93411636,2.4723415,6.209208
$1000/MWh,Slower Growth,FY2027,Off-peak,105012,2.4384997,1.7761612,3.3772821,7.6877494
$1000/MWh,Slower Growth,FY2027,Peak,39384,2.9939883,1.6421585,4.4446907,14.249824
$1000/MWh,Slower Growth,FY2027,Shoulder,170664,3.1213887,2.3708954,4.7020397,10.048166
$1000/MWh,Slower Growth,FY2028,Off-peak,105012,3.6540444,2.8095055,4.888584,10.472006
$1000/MWh,Slower Growth,FY2028,Peak,39384,4.4374123,2.8274689,6.576973,19.722864
$1000/MWh,Slower Growth,FY2028,Shoulder,170664,4.6738076,3.7503204,6.8312864,13.866248
$1000/MWh,Slower Growth,FY2029,Off-peak,105012,5.1672444,4.086769,6.7678127,13.887082
$1000/MWh,Slower Growth,FY2029,Peak,39384,6.28321,4.2602463,9.124386,25.505108
$1000/MWh,Slower Growth,FY2029,Shoulder,170664,6.6246777,5.4667206,9.377277,18.28488
$1000/MWh,Slower Growth,FY2030,Off-peak,105012,6.9719152,5.5828094,9.057829,18.237858
$1000/MWh,Slower Growth,FY2030,Peak,39384,8.472259,5.971737,12.063715,32.67712
$1000/MWh,Slower Growth,FY2030,Shoulder,170664,8.974672,7.5257874,12.59067,23.553432
$1000/MWh,Step Change,FY2026,Off-peak,105012,2.1320994,1.5268478,2.9644527,6.995631
$1000/MWh,Step Change,FY2026,Peak,39384,2.6412845,1.348938,3.8997307,12.601425
$1000/MWh,Step Change,FY2026,Shoulder,170664,2.7325947,2.0172958,4.143299,9.093608
$1000/MWh,Step Change,FY2027,Off-peak,105012,4.8629994,3.8276634,6.4171906,13.221204
$1000/MWh,Step Change,FY2027,Peak,39384,5.91099,4.0005493,8.632008,24.425148
$1000/MWh,Step Change,FY2027,Shoulder,170664,6.232671,5.1284904,8.866513,17.377228
$1000/MWh,Step Change,FY2028,Off-peak,105012,7.886203,6.314205,10.224995,20.304192
$1000/MWh,Step Change,FY2028,Peak,39384,9.572958,6.8766327,13.512756,36.34883
$1000/MWh,Step Change,FY2028,Shoulder,170664,10.149008,8.557102,14.166972,26.265821
$1000/MWh,Step Change,FY2029,Off-peak,105012,11.843376,9.553345,15.31337,29.547794
$1000/MWh,Step Change,FY2029,Peak,39384,14.426062,10.713337,20.298557,50.80671
$1000/MWh,Step Change,FY2029,Shoulder,170664,15.21238,13.000375,21.0574,38.44352
$1000/MWh,Step Change,FY2030,Off-peak,105012,17.1514,13.840202,22.08559,41.953476
$1000/MWh,Step Change,FY2030,Peak,39384,20.81612,15.812416,28.929056,68.93653
$1000/MWh,Step Change,FY2030,Shoulder,170664,21.750404,18.764423,30.108084,53.87838
p99,Accelerated Transition,FY2026,Off-peak,105012,3.0456598,2.2304764,4.133089,9.471812
p99,Accelerated Transition,FY2026,Peak,39384,3.250354,2.1895523,5.262745,14.025499
p99,Accelerated Transition,FY2026,Shoulder,170664,3.793329,3.0491295,5.6605463,11.862755
p99,Accelerated Transition,FY2027,Off-peak,105012,7.2767115,5.753376,9.593584,19.41506
p99,Accelerated Transition,FY2027,Peak,39384,7.7102385,6.2339478,12.308163,26.165636
p99,Accelerated Transition,FY2027,Shoulder,170664,9.081924,7.8065424,13.043249,24.167793
p99,Accelerated Transition,FY2028,Off-peak,105012,13.347521,10.901527,17.513062,33.176353
p99,Accelerated Transition,FY2028,Peak,39384,14.092715,11.906334,21.846622,42.503468
p99,Accelerated Transition,FY2028,Shoulder,170664,16.54121,14.462482,23.467705,41.66283
p99,Accelerated Transition,FY2029,Off-peak,105012,21.589552,17.706898,28.30887,51.565823
p99,Accelerated Transition,FY2029,Peak,39384,22.151703,18.929276,34.02477,62.73923
